19981230 00:00,1239400,1247500,1230300,1233800,6962800
19981231 00:00,1233100,1239400,1224700,1228800,6480500
19990104 00:00,1233800,1252200,1217200,1228800,9480700
19990105 00:00,1229400,1248800,1229400,1244400,7840800
19990106 00:00,1258100,1276300,1257500,1275000,7648500
19990107 00:00,1263800,1272200,1257800,1269400,5364300
19990108 00:00,1281900,1285000,1259700,1275000,6076900
19990111 00:00,1276900,1276900,1252200,1262800,7455600
19990112 00:00,1262200,1262200,1238100,1240000,7434300
19990113 00:00,1204100,1251300,1203800,1233100,10563100
19990114 00:00,1236300,1239100,1209100,1211600,11370000
19990115 00:00,1223800,1247800,1220300,1243100,7757900
19990119 00:00,1253000,1274700,1235000,1252800,6270400
19990120 00:00,1260900,1279400,1250300,1256300,6222800
19990121 00:00,1255800,1258400,1232200,1235900,6408000
19990122 00:00,1221300,1238400,1217800,1225600,7249900
19990125 00:00,1232800,1240000,1219100,1236300,5008100
19990126 00:00,1241300,1257200,1236300,1255000,5893300
19990127 00:00,1263800,1266300,1244100,1244700,7089500
19990128 00:00,1252500,1269700,1251900,1266600,5763500
19990129 00:00,1273400,1283000,1254100,1278800,5990400
19990201 00:00,1286900,1286900,1270000,1270900,9098500
19990202 00:00,1270800,1272200,1247700,1262800,9197400
19990203 00:00,1256900,1279400,1256600,1271900,10155700
19990204 00:00,1273800,1275000,1248100,1248400,6727600
19990205 00:00,1256600,1256600,1232200,1240000,7444000
19990208 00:00,1250900,1250900,1233400,1243800,8364900
19990209 00:00,1243800,1245000,1215600,1218600,8502300
19990210 00:00,1221300,1230000,1213300,1226900,6492100
19990211 00:00,1230600,1256900,1225000,1256900,8880800
19990212 00:00,1248100,1255000,1226300,1235000,10496300
19990216 00:00,1247500,1256300,1233800,1243800,6590400
19990217 00:00,1231900,1253600,1222500,1227500,7447000
19990218 00:00,1231900,1243800,1222200,1239400,8844800
19990219 00:00,1240000,1257500,1233800,1239400,5219200
19990222 00:00,1244400,1277200,1242800,1276900,10212200
19990223 00:00,1275900,1285000,1265900,1275000,7631500
19990224 00:00,1278400,1288400,1254100,1254100,6777300
19990225 00:00,1245300,1252800,1225900,1247500,11219400
19990226 00:00,1247500,1248400,1228100,1239100,9233600
19990301 00:00,1236600,1243100,1208800,1237800,7594300
19990302 00:00,1245000,1253100,1223100,1228100,9311200
19990303 00:00,1230900,1235600,1217800,1231300,7558900
19990304 00:00,1240600,1252300,1232700,1250000,7787300
19990305 00:00,1275000,1281300,1259200,1278100,10091200
19990308 00:00,1282800,1288000,1272500,1285200,4553000
19990309 00:00,1281300,1299400,1274400,1282500,7703600
19990310 00:00,1284700,1292200,1277800,1290300,3748200
19990311 00:00,1296900,1311900,1288800,1302200,6543200
19990312 00:00,1310000,1310300,1292200,1295300,4963300
19990315 00:00,1299400,1311900,1295000,1311600,5257400
19990316 00:00,1311300,1316600,1304700,1309800,4422900
19990317 00:00,1306900,1309400,1296300,1302500,4380300
19990318 00:00,1297800,1323400,1297500,1321600,3537400
19990319 00:00,1323100,1326300,1298400,1300600,5265200
19990322 00:00,1300600,1305900,1294200,1299100,4422000
19990323 00:00,1293100,1296300,1257000,1264100,9302400
19990324 00:00,1268400,1271600,1256300,1269400,5950500
19990325 00:00,1280600,1292500,1277500,1291300,6432000
19990326 00:00,1286300,1291300,1277200,1284700,5881500
19990329 00:00,1291600,1314400,1291600,1312200,5395500
19990330 00:00,1299400,1312200,1295600,1303400,5090200
19990331 00:00,1311600,1316100,1284400,1286300,7029600
19990401 00:00,1296900,1296900,1281300,1293800,7473900
19990405 00:00,1309400,1323800,1302500,1323800,5533700
19990406 00:00,1321900,1329800,1311600,1319400,5022000
19990407 00:00,1326900,1333800,1313800,1328800,6056300
19990408 00:00,1331900,1347800,1322800,1345300,5645500
19990409 00:00,1344400,1356900,1335900,1348800,4132000
19990412 00:00,1334700,1362500,1332200,1360600,7944600
19990413 00:00,1362500,1364700,1340300,1351900,10581100
19990414 00:00,1360600,1360600,1326900,1330300,11566600
19990415 00:00,1334400,1335600,1310000,1326300,11010600
19990416 00:00,1329100,1329100,1311900,1321300,6139800
19990419 00:00,1326900,1345300,1283800,1289100,12557100
19990420 00:00,1298100,1310300,1288800,1306300,8576400
19990421 00:00,1310600,1337800,1257800,1336900,5330700
19990422 00:00,1351300,1362500,1343900,1359700,6576600
19990423 00:00,1358800,1367500,1350000,1357500,4218900
19990426 00:00,1365000,1368100,1354700,1361300,3304000
19990427 00:00,1371300,1375000,1358400,1365600,4907600
19990428 00:00,1364400,1372500,1350000,1353400,5446900
19990429 00:00,1355600,1360600,1338100,1345600,9593600
19990430 00:00,1350900,1356300,1315000,1334700,10538700
19990503 00:00,1334400,1357200,1330300,1356300,10658900
19990504 00:00,1351300,1358100,1331300,1333100,10221800
19990505 00:00,1339400,1350000,1318400,1349700,9747000
19990506 00:00,1344400,1351300,1323800,1335000,13134000
19990507 00:00,1345000,1349800,1334400,1346300,8344100
19990510 00:00,1348400,1357200,1335300,1342200,5372100
19990511 00:00,1353100,1368800,1257800,1357200,6679600
